Cust ID,Order #,Order Date,Total $,SKU Category,Qty
C0211,ORD100210,29-05-2024,575.78,Sports,2
C0628,ORD103222,2024-07-21,$490.26,Apparel,5
C0080,ORD102631,Oct 22 2024,944.58,Electronics,1
C0108,ORD101662,Apr 10 2024,$619.56,Electronics,6
C0644,ORD106023,21-05-2024,385.46,Electronics,6
C0492,ORD107130,06/15/2024,100.72,Beauty,7
C0200,ORD104903,Feb 10 2024,177.19,Accessories,7
C0092,ORD107944,07/08/2024,244.44,Beauty,5
C0826,ORD104794,Jul 12 2024,208.28,Electronics,7
C0866,ORD103516,2024-07-19,250.92,Footwear,7
C0223,ORD107879,2024-08-08,$639.36,Footwear,6
C0380,ORD108750,Oct 26 2024,725.29,Accessories,6
C0393,ORD102064,2024-07-19,319.01,Footwear,1
C0009,ORD101553,06/05/2024,409.42,Electronics,5
C0417,ORD106109,Oct 16 2024,$37.57,Home,6
C0346,ORD103532,Oct 09 2024,$1021.72,Home,4
C0103,ORD107210,Dec 31 2024,564.24,Beauty,6
C0415,ORD105515,2024-02-09,$584.07,Beauty,2
C0734,ORD106367,14-12-2024,590.97,Footwear,2
C0451,ORD102440,Dec 17 2024,964.96,Home,2
C0175,ORD104314,Dec 03 2024,229.14,Electronics,7
C0221,ORD108117,2024-04-15,229.88,Accessories,1
C0610,ORD102814,04/10/2024,$534.07,Beauty,3
C0651,ORD102817,06/24/2024,542.71,Sports,1
C0537,ORD108425,2024-12-13,498.87,Beauty,6
C0685,ORD108280,07/12/2024,"1,173.30",Accessories,8
C0215,ORD107356,04/29/2024,$709.53,,7
C0399,ORD102891,Oct 21 2024,1060.93,Accessories,3
C0828,ORD108991,16-10-2024,1095.19,Electronics,8
C0812,ORD105880,10-12-2024,995.47,Beauty,4
C0805,ORD108357,2024-01-03,21.45,Sports,8
C0103,ORD108076,Oct 18 2024,141.04,Apparel,6
C0128,ORD103225,Feb 02 2024,$1185.95,Beauty,5
C0616,ORD101509,Oct 20 2024,785.60,Footwear,5
C0848,ORD108598,19-06-2024,122.95,Footwear,8
C0370,ORD102057,May 10 2024,157.93,Apparel,1
C0952,ORD106721,2024-01-04,348.92,Apparel,1
C0722,ORD107913,Sep 25 2024,305.26,Home,5
C0123,ORD102967,Apr 29 2024,-$322.53,Sports,2
C0415,ORD109337,2024-10-17,75.95,Footwear,5
C0546,ORD109558,Aug 21 2024,$181.26,Footwear,4
C0780,ORD104329,12-12-2024,$372.89,Home,4
C0385,ORD108716,06/26/2024,1140.91,Apparel,1
C0002,ORD106914,Jun 21 2024,$384.28,Accessories,5
C0901,ORD108003,03/26/2024,$833.50,Apparel,5
C0757,ORD102114,02/24/2024,907.82,Accessories,7
C0800,ORD105413,Mar 10 2024,410.77,Accessories,3
C0880,ORD105134,30-03-2024,$418.24,,8
C0030,ORD104430,29-09-2024,$115.51,Accessories,4
C0944,ORD106238,2024-12-25,127.01,Footwear,5
C0658,ORD108270,Apr 03 2024,78.55,,3
C0663,ORD107308,2024-10-02,991.60,Footwear,7
C0748,ORD100747,Oct 27 2024,$636.77,Sports,6
C0949,ORD106402,Mar 11 2024,1017.24,Home,7
C0745,ORD103284,Oct 18 2024,$1013.32,Beauty,4
C0842,ORD104807,2024-02-21,213.44,Apparel,8
C0834,ORD105429,19-07-2024,208.86,,8
C0669,ORD103185,2024-01-29,426.41,Apparel,2
C0386,ORD109821,26-05-2024,$622.17,Accessories,3
C0087,ORD104202,Dec 25 2024,1115.08,Beauty,4
C0652,ORD107979,12-08-2024,217.10,Beauty,3
C0222,ORD103466,Dec 25 2024,$27.88,Beauty,1
C0597,ORD106118,Jun 27 2024,$835.41,Sports,7
C0734,ORD100733,26-11-2024,548.50,Beauty,6
C0928,ORD106716,07/07/2024,825.08,Sports,5
C0437,ORD107080,29-11-2024,701.51,,8
C0800,ORD108833,2024-08-21,$964.78,Beauty,2
C0324,ORD105853,Feb 18 2024,46.89,Home,1
C0321,ORD102457,05/16/2024,,Apparel,3
C0426,ORD103463,06/27/2024,$1077.18,Electronics,4
C0552,ORD108452,Jan 16 2024,-$708.90,Apparel,8
C0798,ORD100797,2024-04-26,265.49,Apparel,2
C0468,ORD108506,May 29 2024,870.07,Beauty,8
C0539,ORD101125,03/28/2024,629.16,Electronics,8
C0926,ORD104016,2024-05-03,$1191.73,,4
C0186,ORD107576,Apr 14 2024,1146.68,Electronics,5
C0123,ORD105370,2024-02-05,975.11,Home,3
C0947,ORD100946,04/12/2024,"1,174.83",Electronics,8
C0324,ORD104872,Jan 29 2024,294.98,Accessories,7
C0187,ORD108183,2024-07-10,90.66,Accessories,7
C0370,ORD102022,2024-08-29,$553.74,Sports,5
C0015,ORD109152,2024-02-04,293.76,Sports,4
C0756,ORD105550,05-10-2024,$304.46,Apparel,7
C0183,ORD101824,Mar 20 2024,398.01,Apparel,2
C0285,ORD107819,29-04-2024,$37.64,Beauty,1
C0712,ORD100711,06/26/2024,$1164.21,Beauty,6
C0306,ORD103552,Jan 11 2024,383.56,Footwear,5
C0362,ORD104464,03/16/2024,33.33,Home,4
C0632,ORD104964,01-09-2024,642.15,,8
C0138,ORD108703,2024-07-20,$866.71,Sports,2
C0878,ORD101116,Dec 11 2024,,Home,2
C0355,ORD106459,07/12/2024,317.23,Accessories,2
C0467,ORD100466,Jul 12 2024,98.43,Home,1
C0965,ORD102000,Feb 05 2024,890.21,Accessories,6
C0839,ORD108226,07/06/2024,$566.53,Footwear,6
C0472,ORD108433,Oct 04 2024,663.77,Home,2
C0898,ORD100897,2024-11-04,495.71,Accessories,5
C0702,ORD109580,12/28/2024,$89.72,Beauty,3
C0614,ORD101062,2024-01-13,,Accessories,6
C0730,ORD103904,Mar 27 2024,$116.97,Electronics,1
C0338,ORD100337,Jan 22 2024,730.72,,7
C0411,ORD107139,04/10/2024,"1,022.55",Sports,3
C0381,ORD100380,Jun 19 2024,162.07,Apparel,6
C0836,ORD105762,09/22/2024,$1013.36,Electronics,4
C0240,ORD106775,06/15/2024,$999.07,Electronics,8
C0912,ORD106985,12/21/2024,775.67,Home,2
C0686,ORD107409,02/07/2024,120.46,,1
C0194,ORD106707,03/10/2024,573.18,Electronics,1
C0238,ORD104229,01/26/2024,95.35,Accessories,8
C0573,ORD105208,2024-04-24,154.09,Accessories,2
C0452,ORD107751,05/29/2024,$710.29,Home,2
C0491,ORD101034,07/31/2024,$321.31,Beauty,3
C0860,ORD104531,10-07-2024,1085.62,Accessories,8
C0122,ORD106855,23-12-2024,1033.54,Apparel,2
C0042,ORD104581,2024-11-17,$450.49,Apparel,3
C0944,ORD100943,Oct 14 2024,$93.69,Electronics,4
C0798,ORD101275,Dec 24 2024,1003.17,Sports,4
C0748,ORD107859,2024-06-17,$819.37,,7
C0015,ORD105798,01-09-2024,988.56,Apparel,6
C0667,ORD104937,08-10-2024,780.76,Home,2
C0061,ORD107167,12-10-2024,929.38,Apparel,7
C0437,ORD109761,Sep 10 2024,310.61,Electronics,2
C0046,ORD100045,2024-02-13,$537.50,Apparel,4
C0642,ORD100641,30-01-2024,1024.50,Home,5
C0068,ORD107441,06/26/2024,915.50,Home,6
C0418,ORD105949,19-07-2024,,Home,8
C0786,ORD101225,2024-10-28,$305.69,Footwear,5
C0104,ORD108571,2024-09-14,,Accessories,1
C0915,ORD102830,2024-01-15,$126.11,Footwear,7
C0447,ORD105652,12/03/2024,"1,198.35",Apparel,6
C0299,ORD104172,2024-04-10,$308.76,Apparel,3
C0142,ORD106549,2024-09-15,700.87,Sports,4
C0101,ORD105754,Sep 19 2024,$28.69,Sports,8
C0304,ORD105195,04-04-2024,"1,102.50",Beauty,5
C0441,ORD104483,2024-11-27,$440.62,Home,1
C0129,ORD105235,2024-11-12,,Sports,4
C0875,ORD108092,2024-01-06,-$291.93,,5
C0523,ORD100522,Oct 26 2024,1078.68,,7
C0448,ORD102875,2024-06-14,$302.03,Beauty,3
C0246,ORD100245,27-01-2024,178.45,Accessories,5
C0493,ORD108725,2024-12-21,693.05,Apparel,6
C0528,ORD106881,12/02/2024,"1,166.29",Accessories,7
C0770,ORD107063,Oct 06 2024,1164.33,,1
C0739,ORD105378,03/13/2024,-$892.12,Sports,5
C0511,ORD101031,Aug 23 2024,1033.57,Footwear,5
C0472,ORD105899,18-01-2024,670.26,Accessories,2
C0835,ORD107903,09/09/2024,1092.17,Apparel,7
C0722,ORD100721,2024-09-10,$1030.46,Footwear,2
C0205,ORD105937,07/18/2024,$817.15,Apparel,6
C0854,ORD102297,2024-06-14,348.87,Sports,6
C0113,ORD101793,2024-08-17,292.19,Sports,3
C0536,ORD100535,Jan 03 2024,867.47,Accessories,7
C0513,ORD102277,Jan 09 2024,607.73,Sports,2
C0256,ORD100255,02/15/2024,503.60,Accessories,4
C0834,ORD108142,2024-12-27,493.31,,6
C0142,ORD101485,09/25/2024,668.17,Beauty,2
C0572,ORD100571,2024-10-15,851.80,Accessories,2
C0220,ORD107461,2024-05-05,$292.68,Beauty,3
C0868,ORD103779,Jan 11 2024,$1095.03,Sports,3
C0930,ORD100929,08/03/2024,867.77,Sports,5
C0408,ORD107514,01-09-2024,$142.42,Footwear,1
C0748,ORD101258,07/02/2024,$666.57,Footwear,5
C0080,ORD100079,Aug 02 2024,608.91,,7
C0286,ORD104567,13-10-2024,905.70,Beauty,1
C0470,ORD107670,18-02-2024,$234.66,Apparel,5
C0116,ORD104249,Jul 31 2024,240.84,Apparel,4
C0123,ORD105906,May 28 2024,939.03,Beauty,1
C0982,ORD109461,10-05-2024,459.34,,4
C0957,ORD109161,26-08-2024,31.35,Sports,6
C0084,ORD109824,Jun 07 2024,$165.90,Sports,4
C0132,ORD105934,Apr 19 2024,49.55,Beauty,8
C0354,ORD100353,19-02-2024,$169.71,Footwear,6
C0536,ORD109688,01/07/2024,817.79,Apparel,4
C0314,ORD109886,09-04-2024,359.12,Beauty,6
C0900,ORD104280,17-06-2024,564.06,Apparel,5
C0980,ORD109529,04/23/2024,$348.42,Beauty,4
C0804,ORD106729,2024-09-28,"1,019.12",Sports,2
C0404,ORD100403,10-07-2024,$94.34,Sports,5
C0941,ORD101228,05-06-2024,$378.51,Apparel,2
C0934,ORD106245,2024-05-03,$624.64,Accessories,8
C0767,ORD109746,26-08-2024,$387.89,Apparel,4
C0865,ORD106574,Mar 30 2024,522.49,Footwear,3
C0726,ORD109899,2024-06-02,$555.50,,4
C0433,ORD107840,2024-10-12,986.92,Electronics,5
C0037,ORD105101,Jul 21 2024,$931.60,Home,8
C0007,ORD108364,Sep 30 2024,578.75,,6
C0562,ORD109968,03-04-2024,633.13,Sports,5
C0168,ORD107474,2024-08-12,252.73,Footwear,4
C0436,ORD102230,2024-07-05,358.78,Footwear,2
C0247,ORD105760,06/20/2024,721.15,Beauty,7
C0615,ORD103053,12-10-2024,720.62,Sports,7
C0945,ORD102796,Nov 13 2024,$1049.05,Home,5
C0439,ORD106220,08/20/2024,216.81,,6
C0922,ORD104709,2024-07-31,250.45,,1
C0348,ORD101412,01/02/2024,$818.04,Footwear,6
C0425,ORD103934,Nov 16 2024,907.34,Accessories,8
C0275,ORD105816,12/10/2024,$983.26,Electronics,7
C0144,ORD101481,12/17/2024,$1039.73,Home,8
C0896,ORD107933,Jul 22 2024,649.29,Sports,6
C0666,ORD109843,Dec 12 2024,1026.94,Accessories,3
C0152,ORD106950,Apr 20 2024,611.22,Apparel,6
C0705,ORD106026,Feb 01 2024,839.32,Footwear,6
C0509,ORD109029,05/25/2024,298.42,Apparel,6
C0970,ORD109306,11/18/2024,$954.19,Apparel,8
C0001,ORD100000,25-02-2024,109.30,Electronics,7
C0876,ORD103900,13-09-2024,739.13,Sports,4
C0222,ORD100221,2024-03-01,942.11,Sports,3
C0995,ORD102511,02/07/2024,,Sports,5
C0278,ORD108083,06/06/2024,$54.15,Electronics,7
C0059,ORD100058,16-07-2024,$606.28,Electronics,6
C0092,ORD109774,Mar 26 2024,$940.93,,8
C0346,ORD103337,18-09-2024,$571.01,Electronics,6
C0129,ORD101638,09/06/2024,$306.28,Sports,1
C0617,ORD108940,2024-01-20,474.13,Apparel,4
C0545,ORD103849,26-11-2024,$1149.50,Footwear,8
C0360,ORD108625,24-10-2024,$446.87,Beauty,2
C0428,ORD102330,01/18/2024,1126.49,Beauty,2
C0772,ORD104913,30-09-2024,362.27,Beauty,8
C0641,ORD103362,11/01/2024,497.99,,1
C0082,ORD104859,2024-04-30,,Electronics,4
C0012,ORD101478,Nov 02 2024,714.98,Home,6
C0882,ORD109211,Oct 07 2024,830.75,Beauty,7
C0756,ORD109182,09/06/2024,236.00,Home,4
C0537,ORD103996,Jul 27 2024,128.04,Accessories,1
C0459,ORD102005,2024-11-03,$1137.83,Apparel,8
C0200,ORD109393,2024-06-03,507.88,Footwear,8
C0435,ORD107202,2024-11-29,$984.17,Footwear,1
C0242,ORD100241,Apr 12 2024,97.76,Beauty,4
C0452,ORD109457,11/14/2024,103.51,,8
C0200,ORD108550,02-08-2024,$496.96,Electronics,7
C0686,ORD105775,Oct 06 2024,$1165.13,Footwear,5
C0368,ORD104157,13-09-2024,1052.64,Beauty,8
C0291,ORD104506,23-12-2024,$914.98,Sports,7
C0911,ORD107215,11-11-2024,996.30,Sports,6
C0778,ORD101205,11-09-2024,,Accessories,8
C0968,ORD105137,Aug 12 2024,862.10,Home,3
C0273,ORD108361,08/11/2024,"1,083.53",Accessories,3
C0047,ORD103061,04/05/2024,378.81,Electronics,5
C0382,ORD106996,2024-11-15,812.74,Accessories,1
C0891,ORD106371,10/19/2024,$554.60,Beauty,2
C0799,ORD108213,Mar 30 2024,821.63,,8
C0306,ORD109130,09/20/2024,"1,006.32",,8
C0190,ORD107299,Oct 17 2024,23.86,Electronics,2
C0676,ORD104185,10/02/2024,$693.54,Electronics,4
C0108,ORD101855,May 08 2024,1133.36,Sports,5
C0375,ORD104010,2024-04-14,$509.88,Electronics,2
C0146,ORD105602,2024-09-15,"1,113.34",,8
C0609,ORD101452,Jun 01 2024,834.62,Footwear,5
C0941,ORD104732,2024-04-01,492.04,Footwear,6
C0689,ORD107651,2024-01-22,44.40,Beauty,6
C0958,ORD108377,Feb 08 2024,904.12,Home,5
C0231,ORD102950,Apr 11 2024,221.07,Accessories,6
C0078,ORD106063,28-07-2024,-$255.69,Accessories,5
C0472,ORD103117,Apr 02 2024,692.71,Home,6
C0105,ORD106517,Jan 02 2024,"1,089.02",Apparel,4
C0460,ORD103806,01/09/2024,406.23,Electronics,5
C0524,ORD108046,Mar 22 2024,446.35,Electronics,3
C0134,ORD106231,09/02/2024,634.85,Home,8
C0538,ORD101289,01-04-2024,$674.43,Accessories,7
C0469,ORD103540,24-12-2024,361.92,Footwear,7
C0181,ORD108961,Mar 11 2024,$165.48,,8
C0809,ORD107524,2024-11-09,-$472.50,Electronics,7
C0276,ORD103736,2024-04-15,853.14,Accessories,1
C0236,ORD104391,09-05-2024,$388.00,,2
C0915,ORD108585,08/19/2024,$871.42,Apparel,1
C0925,ORD108763,28-07-2024,90.23,Footwear,6
C0787,ORD103728,10/17/2024,$446.32,Sports,5
C0698,ORD105439,06-03-2024,880.99,Apparel,3
C0921,ORD109195,Oct 14 2024,,Electronics,5
C0645,ORD103400,Apr 27 2024,959.74,Home,2
C0236,ORD108605,16-09-2024,452.08,,1
C0747,ORD109680,06/28/2024,751.30,Electronics,6
C0470,ORD103753,Jun 02 2024,1075.93,Footwear,1
C0139,ORD105682,13-08-2024,336.29,Sports,3
C0380,ORD101269,08-01-2024,272.56,Electronics,6
C0913,ORD104771,05/25/2024,737.66,Sports,2
C0659,ORD108150,Apr 23 2024,$820.91,Footwear,7
C0357,ORD109523,Oct 19 2024,$145.12,Apparel,7
C0476,ORD103695,2024-07-12,694.05,Apparel,1
C0016,ORD105583,2024-09-17,930.63,Apparel,8
C0551,ORD105829,2024-04-14,21.15,,2
C0660,ORD106699,19-01-2024,196.36,Accessories,1
C0317,ORD107026,19-11-2024,644.20,Beauty,5
C0545,ORD109825,Feb 07 2024,113.69,Home,7
C0865,ORD103582,10/28/2024,784.94,Accessories,8
C0992,ORD104805,Feb 11 2024,,Apparel,1
C0070,ORD107729,01/07/2024,984.83,Apparel,6
C0772,ORD101599,2024-06-21,890.25,Apparel,7
C0294,ORD108192,May 02 2024,982.70,Accessories,8
C0984,ORD101156,2024-04-13,531.14,Sports,2
C0680,ORD101196,Jun 20 2024,-$304.91,Footwear,6
C0721,ORD107073,10-01-2024,1091.88,Accessories,3
C0600,ORD106505,2024-12-29,$811.50,Beauty,3
C0196,ORD100195,2024-08-24,458.64,Footwear,7
C0887,ORD102013,31-05-2024,$246.60,Sports,7
C0196,ORD106830,09/06/2024,792.08,Beauty,5
C0703,ORD100702,Jun 10 2024,1161.15,Accessories,8
C0845,ORD104083,10/31/2024,164.62,Electronics,1
C0613,ORD100612,2024-07-19,793.22,Sports,7
C0294,ORD107753,09/20/2024,240.26,Home,5
C0231,ORD108838,13-04-2024,$103.17,Electronics,1
C0199,ORD104688,Aug 16 2024,$865.65,Beauty,7
C0550,ORD103008,02/05/2024,474.97,Electronics,4
C0556,ORD106051,2024-01-10,1028.30,Footwear,7
C0528,ORD103812,06/05/2024,648.87,Footwear,8
C0509,ORD100508,2024-11-11,$822.94,Electronics,8
C0846,ORD103617,2024-01-29,$273.25,Electronics,4
C0169,ORD101706,May 15 2024,543.71,Electronics,8
C0507,ORD101384,Nov 23 2024,1062.87,Apparel,7
C0311,ORD109691,10-03-2024,360.58,Footwear,4
C0657,ORD107908,05/29/2024,1063.74,Electronics,4
C0046,ORD103111,09/01/2024,$392.88,Footwear,8
C0944,ORD108472,2024-01-30,103.12,Beauty,1
C0249,ORD105776,07-09-2024,$816.74,Footwear,6
C0302,ORD100301,2024-04-27,1049.20,Electronics,8
C0785,ORD100784,02-10-2024,103.96,Footwear,2
C0152,ORD101291,Dec 04 2024,245.10,,1
C0461,ORD100460,05/16/2024,$600.09,Footwear,5
C0360,ORD108380,May 04 2024,687.42,Footwear,4
C0645,ORD102540,2024-07-25,-$755.10,Home,4
C0606,ORD108289,Sep 15 2024,$1135.93,Electronics,6
C0029,ORD106827,15-11-2024,$437.17,Accessories,1
C0976,ORD103946,Feb 19 2024,195.42,Beauty,7
C0060,ORD109794,2024-05-19,474.32,Electronics,2
C0394,ORD106029,04/21/2024,918.07,,4
C0986,ORD100985,2024-01-21,$244.36,Accessories,2
C0288,ORD109239,07/09/2024,180.22,Beauty,3
C0925,ORD108558,2024-04-08,985.47,Accessories,4
C0086,ORD106832,Jun 01 2024,"1,149.35",Beauty,3
C0918,ORD102253,2024-04-04,594.13,Footwear,1
C0827,ORD106905,Sep 03 2024,$1089.05,Apparel,1
C0941,ORD102092,Aug 04 2024,214.32,Apparel,1
C0131,ORD100130,28-06-2024,740.12,Beauty,1
C0173,ORD102397,2024-11-30,$906.30,Beauty,8
C0746,ORD105622,2024-11-22,-$661.63,Beauty,2
C0296,ORD109013,Jul 11 2024,19.03,Home,2
C0168,ORD106366,2024-02-04,$504.90,Electronics,2
C0677,ORD109648,01/09/2024,$274.78,Apparel,5
C0456,ORD104841,Jul 11 2024,"1,190.07",Beauty,5
C0714,ORD109370,Sep 23 2024,"1,081.26",Apparel,4
C0732,ORD105858,19-05-2024,742.84,Electronics,6
C0023,ORD103050,Jan 15 2024,53.88,Apparel,4
C0449,ORD103176,Mar 26 2024,875.68,Home,1
C0435,ORD107061,Mar 11 2024,$65.14,Electronics,8
C0093,ORD100092,20-12-2024,574.77,Home,7
C0832,ORD100831,07/03/2024,$633.88,Home,4
C0542,ORD103719,09/29/2024,690.91,Beauty,5
C0281,ORD100280,Dec 25 2024,160.37,,6
C0553,ORD104644,07/22/2024,$980.07,,8
C0624,ORD108470,2024-07-07,1056.49,Apparel,6
C0334,ORD103026,06-12-2024,$517.55,Home,8
C0147,ORD100146,08/31/2024,326.10,,1
C0159,ORD101028,2024-01-28,$376.56,Beauty,8
C0513,ORD107234,2024-10-21,$912.05,Footwear,2
C0607,ORD101516,27-02-2024,$960.32,Footwear,4
C0486,ORD107922,Apr 21 2024,706.44,Footwear,3
C0435,ORD101972,24-10-2024,$380.58,Home,4
C0767,ORD108065,2024-07-14,$646.74,Accessories,1
C0004,ORD109049,2024-10-17,666.26,Beauty,4
C0355,ORD108587,2024-09-27,1156.23,Beauty,5
C0110,ORD100109,03/30/2024,"1,030.07",Sports,1
C0913,ORD101843,2024-07-28,131.69,Apparel,6
C0827,ORD108931,Dec 31 2024,$1187.25,Accessories,4
C0468,ORD104742,09/10/2024,1086.30,Apparel,6
C0268,ORD104682,Feb 22 2024,889.44,Home,3
C0212,ORD100211,Aug 31 2024,$448.55,Accessories,8
C0666,ORD103707,12/12/2024,727.07,Electronics,5
C0087,ORD103491,2024-05-24,575.66,Footwear,7
C0730,ORD106814,Jun 28 2024,93.14,Apparel,3
C0170,ORD106015,2024-07-14,544.24,,8
C0361,ORD109915,02/12/2024,486.26,Home,7
C0947,ORD105956,07/04/2024,122.08,Sports,7
C0751,ORD103787,03/29/2024,,Apparel,2
C0368,ORD100367,06/26/2024,$1172.67,Sports,1
C0219,ORD106399,19-09-2024,961.62,,5
C0387,ORD101127,2024-10-05,631.45,Home,8
C0325,ORD104602,Jan 05 2024,880.45,Footwear,3
C0850,ORD107349,2024-12-12,773.15,Beauty,5
C0320,ORD104346,03-10-2024,$1169.66,Home,6
C0232,ORD102491,02/28/2024,508.13,,4
C0386,ORD103992,19-08-2024,"1,011.55",Beauty,4
C0854,ORD101329,03/25/2024,"1,004.57",Accessories,3
C0856,ORD108251,25-10-2024,854.54,Sports,1
